,SPY
2013-01-02,25803943168.04
2013-01-08,17450673730.550003
2013-01-09,12441374714.88
2013-01-10,17691917416.36
2013-01-11,13952618406.65
2013-01-18,23305482777.850002
2013-01-24,20252725410.579998
2013-01-25,22106636939.75
2013-02-01,19164525571.4
2013-02-04,22135036806.72
2013-02-05,16850273238.750002
2013-02-07,23060568836.4
2013-02-11,10909014970.230001
2013-02-12,9510843982.2
2013-02-13,12148650115.359001
2013-02-14,11446558041.0
2013-02-15,28352923877.110004
2013-02-19,13029208951.0
2013-02-20,23304881105.52
2013-02-27,19436383197.0
2013-02-28,18138032001.59
2013-03-01,25364888270.680004
2013-03-04,14622485808.919998
2013-03-05,17710056223.77
2013-03-06,14043216936.0
2013-03-07,12796242776.76
2013-03-08,18232906042.0
2013-03-11,11731443369.03
2013-03-12,15945583002.720001
2013-03-13,13670830042.125
2013-03-14,17725041126.66
2013-03-15,19479005093.710003
2013-03-18,19131474372.17
2013-03-19,24868554670.000004
2013-03-20,17175252484.48
2013-03-21,19107053129.826
2013-03-22,16958949185.599998
2013-03-25,23003250847.05
2013-03-26,13271808698.949999
2013-03-27,15162996110.26
2013-03-28,15063301922.3
2013-04-01,15017516692.400002
2013-04-02,15403645754.56
2013-04-03,23024715299.19
2013-04-04,19004521644.24
2013-04-05,23998449844.952
2013-04-08,13345171355.070002
2013-04-09,15363814413.75
2013-04-10,20944864759.59
2013-04-11,16970654986.72
2013-04-12,18030525815.2
2013-04-15,31579269904.32
2013-04-16,22426980620.22
2013-04-17,33654697075.670002
2013-04-18,24575610856.44
2013-04-19,22847378175.96
2013-04-22,16432413075.89
2013-04-23,25181399104.82
2013-04-24,14336490750.0
2013-04-25,19651014864.48
2013-04-26,14825760999.36
2013-04-29,13420653671.7
2013-04-30,17743186671.68
2013-05-01,20231856729.12
2013-05-02,14883860214.0
2013-05-03,22156622912.447998
2013-05-06,10695561179.92
2013-05-07,14304232566.0
2013-05-08,15572505653.2
2013-05-09,17070488947.759
2013-05-10,16468515522.81
2013-05-13,12926450671.42
2013-05-14,18428211777.95
2013-05-15,19038371046.16
2013-05-16,17898589213.54
2013-05-20,13889169269.220001
2013-05-21,15747834098.21
2013-05-22,39076500895.950005
2013-05-23,34000380187.05
2013-05-24,23668122007.815998
2013-05-30,17444538920.620003
2013-06-03,26996864822.75
2013-06-04,24427294928.04
2013-06-05,32330593924.032005
2013-06-06,30361879924.339996
2013-06-10,15286111508.800001
2013-06-11,25281176253.606
